本文,Level,尊敬語,謙譲語,丁寧語,フィールド
御病気なさったそうですね。回復されたのでしょうか？,1,1,0,0,挨拶
本日は温かい気候ですね。,1,1,0,0,挨拶
行ってらっしゃいませ。お気を付けて。,1,1,0,0,挨拶
皆様、御揃いでお出かけになられるのですか？,1,1,0,0,挨拶
本日はお早いのですね、お散歩ですか？,1,1,0,0,挨拶
お早うございます。本日も良いお天気ですね。,1,1,0,0,挨拶
お早うございます。早朝から御精が出ますね。,1,1,0,0,挨拶
こんにちは、お暑うございます。本日は蒸しますね。,1,1,0,0,挨拶
こんばんは、お寒うございます。随分ひえますね。,1,1,0,0,挨拶
生憎の御天気ですね。はっきりとしない生憎の御天気ですね。,1,1,0,0,挨拶
お寒うございます。本日はやけに冷えますね。,1,1,0,0,挨拶
お久しぶりに、良いお湿りでございますね。,1,1,0,0,挨拶
良いお天気ですね。ようやくお布団が干せますね。,1,1,0,0,挨拶
随分、日が長くなりましたね。,1,1,0,0,挨拶
日が短くなりましたね、まだ五時前なのに、薄暗いですね。,1,1,0,0,挨拶
それは良いお考えでございますね。,1,1,0,0,あいづち
全くもって、御説の通りでございます。,1,1,0,0,あいづち
さようでございます。仰る通りです。,1,1,0,0,あいづち
課長の御想像通りでございました。,1,1,0,0,あいづち
それは正しい御判断だと存じます。,1,0,1,0,あいづち
御説仰る通りでございます。,1,1,0,0,あいづち
恐れ入ります、全く仰る通りでございます。,1,1,1,0,あいづち
仰る通りです、私も同様に存じます。,1,0,1,0,あいづち
参考になります、その様なお考えもございますね。,1,1,0,0,あいづち
そちらで結構でございます。,1,1,0,0,あいづち
御異議がないようでしたら、採決を取らせて頂きたいと存じます。,1,0,1,0,あいづち
何卒、三分の二の御賛成を頂きたいと存じます。,1,0,1,0,あいづち
その御考えに賛同いたします。,1,1,0,0,あいづち
御賛同を頂きました、誠にありがとうございます。,1,1,0,0,あいづち
御同意頂きまして、誠にありがとうございます。,1,1,0,0,あいづち
貴殿がこちらの作品で特に意図なさったのは、どの様なところでしょうか？,1,0,1,0,アイデア
奥様は優秀な方でいらっしゃいますが、御決断力が乏しいと存じます。,1,0,1,0,アイデア
バラの花束に詩を添えて素晴らしい御考えですね。,1,0,1,0,アイデア
グループ分けには、さぞ御苦心されたことと存じます。,1,0,1,0,アイデア
